Using existing task list: /root/autodl-tmp/workspace/FastWAM/evaluate_results/libero_plus/create_only_test/tasks.txt
[2026-09-14 05:47:13] completed=1527/10030 pending=8502 active_workers=1
[2026-09-14 05:48:16] completed=1527/10030 pending=8502 active_workers=1
[2026-09-14 05:49:18] completed=1527/10030 pending=8502 active_workers=1
[2026-09-14 05:50:20] completed=1527/10030 pending=8502 active_workers=1
[2026-09-14 05:51:22] completed=1528/10030 pending=8501 active_workers=1
[2026-09-14 05:52:24] completed=1528/10030 pending=8501 active_workers=1
[2026-09-14 05:53:27] completed=1528/10030 pending=8501 active_workers=1
[2026-09-14 05:54:29] completed=1528/10030 pending=8501 active_workers=1
[2026-09-14 05:55:31] completed=1529/10030 pending=8500 active_workers=1
[2026-09-14 05:56:34] completed=1529/10030 pending=8500 active_workers=1
[2026-09-14 05:57:36] completed=1529/10030 pending=8500 active_workers=1
[2026-09-14 05:58:38] completed=1529/10030 pending=8500 active_workers=1
[2026-09-14 05:59:41] completed=1529/10030 pending=8500 active_workers=1
[2026-09-14 06:00:43] completed=1530/10030 pending=8499 active_workers=1
[2026-09-14 06:01:45] completed=1532/10030 pending=8497 active_workers=1
[2026-09-14 06:02:47] completed=1533/10030 pending=8496 active_workers=1
[2026-09-14 06:03:50] completed=1534/10030 pending=8495 active_workers=1
[2026-09-14 06:04:52] completed=1535/10030 pending=8494 active_workers=1
[2026-09-14 06:05:54] completed=1536/10030 pending=8493 active_workers=1
[2026-09-14 06:06:56] completed=1537/10030 pending=8492 active_workers=1
[2026-09-14 06:07:59] completed=1537/10030 pending=8492 active_workers=1
[2026-09-14 06:09:01] completed=1539/10030 pending=8490 active_workers=1
[2026-09-14 06:10:03] completed=1541/10030 pending=8488 active_workers=1
[2026-09-14 06:11:06] completed=1543/10030 pending=8486 active_workers=1
[2026-09-14 06:12:08] completed=1545/10030 pending=8484 active_workers=1
[2026-09-14 06:13:10] completed=1546/10030 pending=8483 active_workers=1
[2026-09-14 06:14:12] completed=1546/10030 pending=8483 active_workers=1
[2026-09-14 06:15:15] completed=1546/10030 pending=8483 active_workers=1
[2026-09-14 06:16:17] completed=1547/10030 pending=8482 active_workers=1
[2026-09-14 06:17:19] completed=1547/10030 pending=8482 active_workers=1
[2026-09-14 06:18:21] completed=1547/10030 pending=8482 active_workers=1
[2026-09-14 06:19:24] completed=1548/10030 pending=8481 active_workers=1
[2026-09-14 06:20:26] completed=1548/10030 pending=8481 active_workers=1
[2026-09-14 06:21:28] completed=1548/10030 pending=8481 active_workers=1
[2026-09-14 06:22:31] completed=1549/10030 pending=8480 active_workers=1
[2026-09-14 06:23:33] completed=1549/10030 pending=8480 active_workers=1
[2026-09-14 06:24:35] completed=1549/10030 pending=8480 active_workers=1
[2026-09-14 06:25:37] completed=1550/10030 pending=8479 active_workers=1
[2026-09-14 06:26:40] completed=1550/10030 pending=8479 active_workers=1
[2026-09-14 06:27:42] completed=1550/10030 pending=8479 active_workers=1
[2026-09-14 06:28:44] completed=1554/10030 pending=8475 active_workers=1
[2026-09-14 06:29:47] completed=1557/10030 pending=8472 active_workers=1
[2026-09-14 06:30:49] completed=1557/10030 pending=8472 active_workers=1
[2026-09-14 06:31:51] completed=1557/10030 pending=8472 active_workers=1
[2026-09-14 06:32:53] completed=1557/10030 pending=8472 active_workers=1
[2026-09-14 06:33:56] completed=1557/10030 pending=8472 active_workers=1
[2026-09-14 06:34:58] completed=1557/10030 pending=8472 active_workers=1
[2026-09-14 06:36:00] completed=1557/10030 pending=8472 active_workers=1
[2026-09-14 06:37:02] completed=1557/10030 pending=8472 active_workers=1
[2026-09-14 06:38:05] completed=1558/10030 pending=8471 active_workers=1
[2026-09-14 06:39:07] completed=1558/10030 pending=8471 active_workers=1
[2026-09-14 06:40:09] completed=1558/10030 pending=8471 active_workers=1
[2026-09-14 06:41:12] completed=1558/10030 pending=8471 active_workers=1
[2026-09-14 06:42:14] completed=1558/10030 pending=8471 active_workers=1
[2026-09-14 06:43:16] completed=1559/10030 pending=8470 active_workers=1
[2026-09-14 06:44:18] completed=1559/10030 pending=8470 active_workers=1
[2026-09-14 06:45:21] completed=1559/10030 pending=8470 active_workers=1
[2026-09-14 06:46:23] completed=1559/10030 pending=8470 active_workers=1
[2026-09-14 06:47:25] completed=1559/10030 pending=8470 active_workers=1
[2026-09-14 06:48:28] completed=1559/10030 pending=8470 active_workers=1
[2026-09-14 06:49:30] completed=1560/10030 pending=8469 active_workers=1
[2026-09-14 06:50:32] completed=1560/10030 pending=8469 active_workers=1
[2026-09-14 06:51:34] completed=1560/10030 pending=8469 active_workers=1
[2026-09-14 06:52:37] completed=1560/10030 pending=8469 active_workers=1
[2026-09-14 06:53:39] completed=1560/10030 pending=8469 active_workers=1
[2026-09-14 06:54:41] completed=1560/10030 pending=8469 active_workers=1
[2026-09-14 06:55:44] completed=1560/10030 pending=8469 active_workers=1
[2026-09-14 06:56:46] completed=1560/10030 pending=8469 active_workers=1
[2026-09-14 06:57:48] completed=1560/10030 pending=8469 active_workers=1
[2026-09-14 06:58:50] completed=1561/10030 pending=8468 active_workers=1
[2026-09-14 06:59:53] completed=1561/10030 pending=8468 active_workers=1
[2026-09-14 07:00:55] completed=1561/10030 pending=8468 active_workers=1
[2026-09-14 07:01:57] completed=1561/10030 pending=8468 active_workers=1
[2026-09-14 07:03:00] completed=1561/10030 pending=8468 active_workers=1
[2026-09-14 07:04:02] completed=1562/10030 pending=8467 active_workers=1
[2026-09-14 07:05:04] completed=1562/10030 pending=8467 active_workers=1
[2026-09-14 07:06:06] completed=1562/10030 pending=8467 active_workers=1
[2026-09-14 07:07:09] completed=1562/10030 pending=8467 active_workers=1
[2026-09-14 07:08:11] completed=1562/10030 pending=8467 active_workers=1
[2026-09-14 07:09:13] completed=1562/10030 pending=8467 active_workers=1
[2026-09-14 07:10:16] completed=1563/10030 pending=8466 active_workers=1
[2026-09-14 07:11:18] completed=1563/10030 pending=8466 active_workers=1
[2026-09-14 07:12:20] completed=1563/10030 pending=8466 active_workers=1
[2026-09-14 07:13:22] completed=1563/10030 pending=8466 active_workers=1
[2026-09-14 07:14:25] completed=1564/10030 pending=8465 active_workers=1
[2026-09-14 07:15:27] completed=1564/10030 pending=8465 active_workers=1
[2026-09-14 07:16:29] completed=1564/10030 pending=8465 active_workers=1
[2026-09-14 07:17:32] completed=1564/10030 pending=8465 active_workers=1
[2026-09-14 07:18:34] completed=1564/10030 pending=8465 active_workers=1
[2026-09-14 07:19:36] completed=1565/10030 pending=8464 active_workers=1
[2026-09-14 07:20:38] completed=1566/10030 pending=8463 active_workers=1
[2026-09-14 07:21:41] completed=1567/10030 pending=8462 active_workers=1
[2026-09-14 07:22:43] completed=1567/10030 pending=8462 active_workers=1
[2026-09-14 07:23:45] completed=1568/10030 pending=8461 active_workers=1
[2026-09-14 07:24:48] completed=1569/10030 pending=8460 active_workers=1
[2026-09-14 07:25:50] completed=1569/10030 pending=8460 active_workers=1
[2026-09-14 07:26:52] completed=1570/10030 pending=8459 active_workers=1
[2026-09-14 07:27:54] completed=1570/10030 pending=8459 active_workers=1
[2026-09-14 07:28:57] completed=1571/10030 pending=8458 active_workers=1
[2026-09-14 07:29:59] completed=1572/10030 pending=8457 active_workers=1
[2026-09-14 07:31:01] completed=1572/10030 pending=8457 active_workers=1
[2026-09-14 07:32:04] completed=1574/10030 pending=8455 active_workers=1
[2026-09-14 07:33:06] completed=1577/10030 pending=8452 active_workers=1
[2026-09-14 07:34:08] completed=1580/10030 pending=8450 active_workers=1
[2026-09-14 07:35:10] completed=1582/10030 pending=8447 active_workers=1
[2026-09-14 07:36:13] completed=1583/10030 pending=8446 active_workers=1
[2026-09-14 07:37:15] completed=1584/10030 pending=8445 active_workers=1
[2026-09-14 07:38:17] completed=1584/10030 pending=8445 active_workers=1
[2026-09-14 07:39:20] completed=1585/10030 pending=8444 active_workers=1
[2026-09-14 07:40:22] completed=1585/10030 pending=8444 active_workers=1
[2026-09-14 07:41:24] completed=1586/10030 pending=8443 active_workers=1
[2026-09-14 07:42:26] completed=1587/10030 pending=8442 active_workers=1
[2026-09-14 07:43:29] completed=1587/10030 pending=8442 active_workers=1
[2026-09-14 07:44:31] completed=1588/10030 pending=8441 active_workers=1
[2026-09-14 07:45:33] completed=1588/10030 pending=8441 active_workers=1
[2026-09-14 07:46:36] completed=1588/10030 pending=8441 active_workers=1
[2026-09-14 07:47:38] completed=1588/10030 pending=8441 active_workers=1
[2026-09-14 07:48:40] completed=1589/10030 pending=8440 active_workers=1
[2026-09-14 07:49:43] completed=1589/10030 pending=8440 active_workers=1
[2026-09-14 07:50:45] completed=1589/10030 pending=8440 active_workers=1
[2026-09-14 07:51:47] completed=1589/10030 pending=8440 active_workers=1
[2026-09-14 07:52:50] completed=1590/10030 pending=8440 active_workers=1
[2026-09-14 07:53:52] completed=1590/10030 pending=8439 active_workers=1
[2026-09-14 07:54:54] completed=1590/10030 pending=8439 active_workers=1
[2026-09-14 07:55:57] completed=1591/10030 pending=8438 active_workers=1
[2026-09-14 07:56:59] completed=1591/10030 pending=8438 active_workers=1
[2026-09-14 07:58:01] completed=1591/10030 pending=8438 active_workers=1
[2026-09-14 07:59:03] completed=1592/10030 pending=8437 active_workers=1
[2026-09-14 08:00:06] completed=1592/10030 pending=8437 active_workers=1
[2026-09-14 08:01:08] completed=1593/10030 pending=8436 active_workers=1
[2026-09-14 08:02:10] completed=1596/10030 pending=8433 active_workers=1
[2026-09-14 08:03:13] completed=1599/10030 pending=8430 active_workers=1
[2026-09-14 08:04:15] completed=1602/10030 pending=8428 active_workers=1
[2026-09-14 08:05:17] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:06:20] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:07:22] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:08:24] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:09:27] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:10:29] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:11:31] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:12:33] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:13:36] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:14:38] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:15:40] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:16:43] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:17:45] completed=1603/10030 pending=8426 active_workers=1
[2026-09-14 08:18:47] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:19:50] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:20:52] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:21:54] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:22:57] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:23:59] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:25:01] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:26:04] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:27:06] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:28:08] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:29:10] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:30:13] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:31:15] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:32:17] completed=1604/10030 pending=8425 active_workers=1
[2026-09-14 08:33:20] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:34:22] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:35:24] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:36:26] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:37:29] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:38:31] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:39:33] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:40:36] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:41:38] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:42:40] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:43:43] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:44:45] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:45:47] completed=1605/10030 pending=8424 active_workers=1
[2026-09-14 08:46:50] completed=1606/10030 pending=8423 active_workers=1
[2026-09-14 08:47:52] completed=1606/10030 pending=8423 active_workers=1
[2026-09-14 08:48:54] completed=1606/10030 pending=8423 active_workers=1
[2026-09-14 08:49:57] completed=1606/10030 pending=8423 active_workers=1
[2026-09-14 08:50:59] completed=1606/10030 pending=8423 active_workers=1
[2026-09-14 08:52:01] completed=1606/10030 pending=8423 active_workers=1
[2026-09-14 08:53:03] completed=1606/10030 pending=8423 active_workers=1
[2026-09-14 08:54:06] completed=1606/10030 pending=8423 active_workers=1
[2026-09-14 08:55:08] completed=1606/10030 pending=8423 active_workers=1
[2026-09-14 08:56:10] completed=1607/10030 pending=8422 active_workers=1
[2026-09-14 08:57:13] completed=1607/10030 pending=8422 active_workers=1
[2026-09-14 08:58:15] completed=1607/10030 pending=8422 active_workers=1
[2026-09-14 08:59:17] completed=1607/10030 pending=8422 active_workers=1
[2026-09-14 09:00:20] completed=1607/10030 pending=8422 active_workers=1
[2026-09-14 09:01:22] completed=1607/10030 pending=8422 active_workers=1
[2026-09-14 09:02:24] completed=1607/10030 pending=8422 active_workers=1
[2026-09-14 09:03:27] completed=1607/10030 pending=8422 active_workers=1
[2026-09-14 09:04:29] completed=1607/10030 pending=8422 active_workers=1
[2026-09-14 09:05:31] completed=1608/10030 pending=8421 active_workers=1
[2026-09-14 09:06:33] completed=1608/10030 pending=8421 active_workers=1
[2026-09-14 09:07:36] completed=1608/10030 pending=8421 active_workers=1
[2026-09-14 09:08:38] completed=1608/10030 pending=8421 active_workers=1
[2026-09-14 09:09:40] completed=1608/10030 pending=8421 active_workers=1
[2026-09-14 09:10:43] completed=1608/10030 pending=8421 active_workers=1
[2026-09-14 09:11:45] completed=1608/10030 pending=8421 active_workers=1
[2026-09-14 09:12:47] completed=1608/10030 pending=8421 active_workers=1
[2026-09-14 09:13:50] completed=1608/10030 pending=8421 active_workers=1
[2026-09-14 09:14:52] completed=1609/10030 pending=8420 active_workers=1
[2026-09-14 09:15:54] completed=1609/10030 pending=8420 active_workers=1
[2026-09-14 09:16:57] completed=1609/10030 pending=8420 active_workers=1
[2026-09-14 09:17:59] completed=1609/10030 pending=8420 active_workers=1
[2026-09-14 09:19:01] completed=1609/10030 pending=8420 active_workers=1
[2026-09-14 09:20:04] completed=1609/10030 pending=8420 active_workers=1
[2026-09-14 09:21:06] completed=1609/10030 pending=8420 active_workers=1
[2026-09-14 09:22:08] completed=1609/10030 pending=8420 active_workers=1
[2026-09-14 09:23:11] completed=1609/10030 pending=8420 active_workers=1
[2026-09-14 09:24:13] completed=1610/10030 pending=8419 active_workers=1
[2026-09-14 09:25:15] completed=1610/10030 pending=8419 active_workers=1
[2026-09-14 09:26:18] completed=1610/10030 pending=8419 active_workers=1
[2026-09-14 09:27:20] completed=1610/10030 pending=8419 active_workers=1
[2026-09-14 09:28:22] completed=1610/10030 pending=8419 active_workers=1
[2026-09-14 09:29:25] completed=1610/10030 pending=8419 active_workers=1
[2026-09-14 09:30:27] completed=1610/10030 pending=8419 active_workers=1
[2026-09-14 09:31:29] completed=1610/10030 pending=8419 active_workers=1
[2026-09-14 09:32:32] completed=1610/10030 pending=8419 active_workers=1
[2026-09-14 09:33:34] completed=1611/10030 pending=8418 active_workers=1
[2026-09-14 09:34:36] completed=1611/10030 pending=8418 active_workers=1
[2026-09-14 09:35:39] completed=1611/10030 pending=8418 active_workers=1
[2026-09-14 09:36:41] completed=1611/10030 pending=8418 active_workers=1
[2026-09-14 09:37:43] completed=1612/10030 pending=8417 active_workers=1
[2026-09-14 09:38:46] completed=1612/10030 pending=8417 active_workers=1
[2026-09-14 09:39:48] completed=1612/10030 pending=8417 active_workers=1
[2026-09-14 09:40:50] completed=1612/10030 pending=8417 active_workers=1
[2026-09-14 09:41:53] completed=1612/10030 pending=8417 active_workers=1
[2026-09-14 09:42:55] completed=1614/10030 pending=8415 active_workers=1
[2026-09-14 09:43:57] completed=1616/10030 pending=8413 active_workers=1
[2026-09-14 09:45:00] completed=1617/10030 pending=8412 active_workers=1
[2026-09-14 09:46:02] completed=1619/10030 pending=8410 active_workers=1
[2026-09-14 09:47:04] completed=1619/10030 pending=8410 active_workers=1
[2026-09-14 09:48:07] completed=1620/10030 pending=8409 active_workers=1
[2026-09-14 09:49:09] completed=1620/10030 pending=8409 active_workers=1
[2026-09-14 09:50:11] completed=1621/10030 pending=8408 active_workers=1
[2026-09-14 09:51:14] completed=1621/10030 pending=8408 active_workers=1
[2026-09-14 09:52:16] completed=1622/10030 pending=8407 active_workers=1
[2026-09-14 09:53:18] completed=1622/10030 pending=8407 active_workers=1
[2026-09-14 09:54:21] completed=1623/10030 pending=8406 active_workers=1
[2026-09-14 09:55:23] completed=1626/10030 pending=8403 active_workers=1
[2026-09-14 09:56:25] completed=1628/10030 pending=8401 active_workers=1
[2026-09-14 09:57:28] completed=1631/10030 pending=8398 active_workers=1
[2026-09-14 09:58:30] completed=1632/10030 pending=8397 active_workers=1
[2026-09-14 09:59:32] completed=1632/10030 pending=8397 active_workers=1
[2026-09-14 10:00:35] completed=1634/10030 pending=8395 active_workers=1
[2026-09-14 10:01:37] completed=1635/10030 pending=8394 active_workers=1
[2026-09-14 10:02:39] completed=1637/10030 pending=8392 active_workers=1
[2026-09-14 10:03:42] completed=1637/10030 pending=8392 active_workers=1
[2026-09-14 10:04:44] completed=1637/10030 pending=8392 active_workers=1
[2026-09-14 10:05:46] completed=1637/10030 pending=8392 active_workers=1
[2026-09-14 10:06:49] completed=1637/10030 pending=8392 active_workers=1
[2026-09-14 10:07:51] completed=1638/10030 pending=8391 active_workers=1
[2026-09-14 10:08:53] completed=1638/10030 pending=8391 active_workers=1
[2026-09-14 10:09:56] completed=1638/10030 pending=8391 active_workers=1
[2026-09-14 10:10:58] completed=1638/10030 pending=8391 active_workers=1
[2026-09-14 10:12:00] completed=1639/10030 pending=8390 active_workers=1
[2026-09-14 10:13:03] completed=1639/10030 pending=8390 active_workers=1
[2026-09-14 10:14:05] completed=1639/10030 pending=8390 active_workers=1
[2026-09-14 10:15:07] completed=1640/10030 pending=8389 active_workers=1
[2026-09-14 10:16:10] completed=1640/10030 pending=8389 active_workers=1
[2026-09-14 10:17:12] completed=1640/10030 pending=8389 active_workers=1
[2026-09-14 10:18:14] completed=1641/10030 pending=8388 active_workers=1
[2026-09-14 10:19:17] completed=1641/10030 pending=8388 active_workers=1
[2026-09-14 10:20:19] completed=1642/10030 pending=8387 active_workers=1
[2026-09-14 10:21:21] completed=1646/10030 pending=8383 active_workers=1
[2026-09-14 10:22:24] completed=1649/10030 pending=8380 active_workers=1
[2026-09-14 10:23:26] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:24:28] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:25:31] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:26:33] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:27:35] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:28:38] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:29:40] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:30:42] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:31:45] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:32:47] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:33:49] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:34:52] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:35:54] completed=1651/10030 pending=8378 active_workers=1
[2026-09-14 10:36:56] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:37:59] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:39:01] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:40:04] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:41:06] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:42:08] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:43:11] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:44:13] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:45:15] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:46:18] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:47:20] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:48:23] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:49:25] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:50:27] completed=1652/10030 pending=8377 active_workers=1
[2026-09-14 10:51:30] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 10:52:32] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 10:53:34] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 10:54:37] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 10:55:39] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 10:56:41] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 10:57:44] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 10:58:46] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 10:59:48] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 11:00:51] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 11:01:53] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 11:02:55] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 11:03:58] completed=1653/10030 pending=8376 active_workers=1
[2026-09-14 11:05:00] completed=1654/10030 pending=8375 active_workers=1
[2026-09-14 11:06:02] completed=1654/10030 pending=8375 active_workers=1
[2026-09-14 11:07:05] completed=1654/10030 pending=8375 active_workers=1
[2026-09-14 11:08:07] completed=1654/10030 pending=8375 active_workers=1
[2026-09-14 11:09:09] completed=1654/10030 pending=8375 active_workers=1
[2026-09-14 11:10:12] completed=1654/10030 pending=8375 active_workers=1
[2026-09-14 11:11:14] completed=1654/10030 pending=8375 active_workers=1
[2026-09-14 11:12:17] completed=1654/10030 pending=8375 active_workers=1
[2026-09-14 11:13:19] completed=1654/10030 pending=8375 active_workers=1
[2026-09-14 11:14:21] completed=1655/10030 pending=8374 active_workers=1
[2026-09-14 11:15:24] completed=1655/10030 pending=8374 active_workers=1
[2026-09-14 11:16:26] completed=1655/10030 pending=8374 active_workers=1
[2026-09-14 11:17:28] completed=1655/10030 pending=8374 active_workers=1
[2026-09-14 11:18:31] completed=1655/10030 pending=8374 active_workers=1
[2026-09-14 11:19:33] completed=1655/10030 pending=8374 active_workers=1
[2026-09-14 11:20:35] completed=1655/10030 pending=8374 active_workers=1
[2026-09-14 11:21:38] completed=1655/10030 pending=8374 active_workers=1
[2026-09-14 11:22:40] completed=1655/10030 pending=8374 active_workers=1
[2026-09-14 11:23:42] completed=1656/10030 pending=8373 active_workers=1
[2026-09-14 11:24:45] completed=1656/10030 pending=8373 active_workers=1
